scenario,i,j,x,y,density,momentum_x,momentum_y,energy,velocity_x,velocity_y,pressure
four-quadrants,0,0,0.0026041666666666665,0.0026041666666666665,0.25,-6.533633098228945e-17,-5.261050482409564e-19,0.6250000000000002,-2.613453239291578e-16,-2.1044201929638257e-18,0.2500000000000001
four-quadrants,1,0,0.0078125,0.0026041666666666665,0.25000000000000017,-2.2191352015390107e-16,-5.972544391167506e-19,0.6250000000000006,-8.876540806156037e-16,-2.3890177564670008e-18,0.2500000000000002
four-quadrants,2,0,0.013020833333333334,0.0026041666666666665,0.2500000000000006,-7.306148602222833e-16,-1.3599423561975301e-17,0.6250000000000022,-2.922459440889126e-15,-5.439769424790107e-17,0.2500000000000009
four-quadrants,3,0,0.018229166666666668,0.0026041666666666665,0.2500000000000022,-2.5825220715925288e-15,-1.1233594873577071e-18,0.6250000000000077,-1.0330088286370024e-14,-4.493437949430788e-18,0.25000000000000305
four-quadrants,4,0,0.0234375,0.0026041666666666665,0.2500000000000076,-8.979417096480706e-15,-1.0522100964819129e-18,0.6250000000000265,-3.591766838592173e-14,-4.2088403859275235e-18,0.2500000000000106
four-quadrants,5,0,0.028645833333333332,0.0026041666666666665,0.2500000000000257,-3.042744015540449e-14,-1.0522100964819129e-18,0.62500000000009,-1.2170976062160544e-13,-4.2088403859272185e-18,0.250000000000036
four-quadrants,6,0,0.033854166666666664,0.0026041666666666665,0.25000000000008515,-1.0078291742046926e-13,-5.261050482409564e-19,0.6250000000002981,-4.031316696817397e-13,-2.104420192963109e-18,0.25000000000011924
four-quadrants,7,0,0.0390625,0.0026041666666666665,0.2500000000002758,-3.2633546182222384e-13,-5.261050482409564e-19,0.6250000000009653,-1.3053418472874555e-12,-2.1044201929615042e-18,0.25000000000038614
four-quadrants,8,0,0.044270833333333336,0.0026041666666666665,0.2500000000008731,-1.0330536619706567e-12,-1.0522100964819129e-18,0.625000000003056,-4.132214647868196e-12,-4.208840385912953e-18,0.2500000000012224
four-quadrants,9,0,0.049479166666666664,0.0026041666666666665,0.2500000000027021,-3.197134905393395e-12,-1.0522100964819129e-18,0.6250000000094573,-1.2788539621435355e-11,-4.20884038588216e-18,0.2500000000037829
four-quadrants,10,0,0.0546875,0.0026041666666666665,0.25000000000817635,-9.674331655163759e-12,-5.261050482409564e-19,0.6250000000286171,-3.8697326619389424e-11,-2.104420192895e-18,0.25000000001144684
four-quadrants,11,0,0.059895833333333336,0.0026041666666666665,0.2500000000241945,-2.8627281405988843e-11,-5.261050482409564e-19,0.6250000000846806,-1.1450912561287341e-10,-2.1044201927601644e-18,0.25000000003387224
four-quadrants,12,0,0.06510416666666667,0.0026041666666666665,0.25000000007002554,-8.285525385187027e-11,-1.0522100964819129e-18,0.6250000002450891,-3.314210153146493e-10,-4.208840384748746e-18,0.25000000009803564
four-quadrants,13,0,0.0703125,0.0026041666666666665,0.25000000019827184,-2.345984120587739e-10,-1.0522100964819129e-18,0.6250000006939515,-9.383936474908674e-10,-4.2088403825896736e-18,0.25000000027758057
four-quadrants,14,0,0.07552083333333333,0.0026041666666666665,0.2500000005493132,-6.499562269918442e-10,-1.0522100964819129e-18,0.6250000019225964,-2.5998249022549044e-9,-4.208840376679765e-18,0.25000000076903856
four-quadrants,15,0,0.08072916666666667,0.0026041666666666665,0.2500000014894588,-1.7623514361460266e-9,0,0.6250000052131058,-7.04940570258491e-9,0,0.25000000208524237
four-quadrants,16,0,0.0859375,0.0026041666666666665,0.25000000395356403,-4.677920082884322e-9,0,0.6250000138374743,-1.8711680035625987e-8,0,0.25000000553498974
four-quadrants,17,0,0.09114583333333333,0.0026041666666666665,0.25000001027571134,-1.2158386168291682e-8,-5.261050482409564e-19,0.6250000359649908,-4.8633542674189743e-8,-2.1044201064661715e-18,0.25000001438599617
four-quadrants,18,0,0.09635416666666667,0.0026041666666666665,0.25000002615885186,-3.095157463637757e-8,-5.261050482409564e-19,0.6250000915559898,-1.2380628559098915e-7,-2.1044199727669843e-18,0.25000003662239517
four-quadrants,19,0,0.1015625,0.0026041666666666665,0.2500000652441082,-7.719789256559206e-8,-5.261050482409564e-19,0.6250002283544295,-3.0879148967506673e-7,-2.104419643759894e-18,0.25000009134176704
four-quadrants,20,0,0.10677083333333333,0.0026041666666666665,0.2500001594868537,-1.8870752289920325e-7,-1.0522100964819129e-18,0.6250005582042837,-7.548296100552146e-7,-4.20883770091052e-18,0.250000223281685
four-quadrants,21,0,0.11197916666666667,0.0026041666666666665,0.25000038223390936,-4.522660059702493e-7,-5.261050482409564e-19,0.625001337820336,-0.0000018090612579427696,-2.104416975445716e-18,0.25000053512797077
four-quadrants,22,0,0.1171875,0.0026041666666666665,0.2500008985252281,-0.0000010631534192025238,-1.0522100964819129e-18,0.6250031448472058,-0.000004252598392542332,-4.208825258984948e-18,0.25000125793797806
four-quadrants,23,0,0.12239583333333333,0.0026041666666666665,0.25000207262969676,-0.0000024523895539454003,-5.261050482409564e-19,0.6250072542502032,-0.000009809476890129153,-2.1044027463733213e-18,0.25000290169526995
four-quadrants,24,0,0.12760416666666666,0.0026041666666666665,0.25000469370188033,-0.000005553768730890426,0,0.625016428188452,-0.000022214657847636463,0,0.2500065712507058
four-quadrants,25,0,0.1328125,0.0026041666666666665,0.25001044097734065,-0.000012354444885890387,0,0.6250365445432067,-0.000049415715750087875,0,0.25001461769518196
four-quadrants,26,0,0.13802083333333334,0.0026041666666666665,0.25002282663643155,-0.000027011254389708178,-1.123389834386488e-18,0.6250798984823037,-0.00010803515324217316,-4.493149083623694e-18,0.25003195880928847
four-quadrants,27,0,0.14322916666666666,0.0026041666666666665,0.2500490755214799,-0.00005807791439520428,-1.3144480540133272e-17,0.6251717881371105,-0.00023226606326810925,-5.2567603030406416e-17,0.25006871255693847
four-quadrants,28,0,0.1484375,0.0026041666666666665,0.2501038100958645,-0.00012287809224176765,-1.2618276105864272e-17,0.6253634398779948,-0.0004913083578961416,-5.045215465141335e-17,0.2501453638769912
four-quadrants,29,0,0.15364583333333334,0.0026041666666666665,0.2502161394520617,-0.0002559459285648951,-7.119315882879157e-20,0.6257569329639869,-0.0010228993586320243,-2.8452664558207402e-19,0.25030272082420957
four-quadrants,30,0,0.15885416666666666,0.0026041666666666665,0.25044296639786473,-0.0005249777994652893,0,0.6265522165734997,-0.0020961970184911736,0,0.2506206665380203
four-quadrants,31,0,0.1640625,0.0026041666666666665,0.2508930395270341,-0.0010600670474292667,-5.261050482409564e-19,0.6281329481008499,-0.004225175195882797,-2.0969296287881586e-18,0.251252283446541
four-quadrants,32,0,0.16927083333333334,0.0026041666666666665,0.2517675853693182,-0.0021045292279428893,-5.261050482409564e-19,0.631214555702073,-0.008359015815541753,-2.0896456844085477e-18,0.25248230392220905
four-quadrants,33,0,0.17447916666666666,0.0026041666666666665,0.2534201105447597,-0.004094567891405822,-1.0522100964819129e-18,0.6370724621859796,-0.0161572334673993,-4.152038661099348e-18,0.2548157534965179
four-quadrants,34,0,0.1796875,0.0026041666666666665,0.2564182869040979,-0.00775740506338782,-6.043659427231311e-19,0.6478115812685028,-0.03025293225786638,-2.3569533593724063e-18,0.2590776956574252
four-quadrants,35,0,0.18489583333333334,0.0026041666666666665,0.2615365327809006,-0.014156085694498456,-1.2536792394141619e-17,0.6664548663224347,-0.05412660917378439,-4.7935147953667264e-17,0.26642870234541055
four-quadrants,36,0,0.19010416666666666,0.0026041666666666665,0.2695373594660919,-0.024496603846724144,-1.216379248866521e-18,0.696322897263713,-0.09088389043822269,-4.5128410075544375e-18,0.27808388957346236
