scenario,step,time_before,dt,ratio,alpha,retries,max_cfl,min_density,min_pressure,max_component_velocity,min_energy_density_ratio,boundary_x_mass,boundary_x_momentum_x,boundary_x_momentum_y,boundary_x_energy,boundary_y_mass,boundary_y_momentum_x,boundary_y_momentum_y,boundary_y_energy
four-quadrants,1,0,0.0017607380306844096,0.33806170189140666,1.1832159566199232,0,0.4,0.25,0.25,0.22371730272225446,2.4999999999999996,0,100.79999999999973,0,0,0,0,43.1990066105543,0
four-quadrants,2,0.0017607380306844096,0.0014870368537999684,0.28551107592959396,1.400996436644856,0,0.4,0.25,0.25,0.29293990373607043,2.47406113741507,0,100.79958286982936,0,0,0,0,43.197635592455974,0
four-quadrants,3,0.0032477748844843782,0.0014137854144615557,0.2714467995766187,1.4735852499417508,0,0.4,0.25,0.25,0.3296118250770006,2.4489268067221293,0,100.79900682934426,0,0,0,0,43.19621860842753,0
four-quadrants,4,0.004661560298945934,0.0013783142843400312,0.264636342593286,1.5115081930177352,0,0.4,0.25,0.25,0.3521314978124552,2.421467157006674,0,100.79839945602274,0,0,0,0,43.19475447067108,0
four-quadrants,5,0.006039874583285965,0.001358521330864648,0.26083609552601245,1.5335300859850094,0,0.39999999999999997,0.25,0.25,0.3665271934698602,2.39802131935068,0,100.7977749370004,0,0,0,0,43.193257208433494,0
four-quadrants,6,0.007398395914150613,0.0013462663597785818,0.2584831410774877,1.5474897060311124,0,0.4,0.25,0.25,0.37606969505401255,2.3789226316595022,0,100.79713753323446,0,0,0,0,43.19173242685115,0
four-quadrants,7,0.008744662273929196,0.0013311098340578283,0.25557308813910307,1.5651100157395619,0,0.4,0.25,0.25,0.38267681624943684,2.3636366037378513,0,100.79648999719147,0,0,0,0,43.19019404158356,0
four-quadrants,8,0.010075772107987024,0.0013135247878981516,0.25219675927644514,1.5860632037763045,0,0.4,0.25,0.25,0.395280524801834,2.3513542307030244,0,100.79583796904467,0,0,0,0,43.1886523159555,0
four-quadrants,9,0.011389296895885175,0.001303395902104147,0.25025201320399626,1.5983887397298768,0,0.4000000000000001,0.25,0.25,0.4046470046499559,2.3412740477386325,0,100.79518555353555,0,0,0,0,43.18710310128322,0
four-quadrants,10,0.012692692797989322,0.0012977047790839445,0.24915931758411736,1.6053985212291253,0,0.4,0.25,0.25,0.4107860320092525,2.3328340784470787,0,100.79453073106885,0,0,0,0,43.18554460813914,0
four-quadrants,11,0.013990397577073268,0.001294131494844965,0.24847324701023327,1.6098312587492616,0,0.4,0.25,0.25,0.41484579358166956,2.325304464915761,0,100.79387248876742,0,0,0,0,43.18397680248734,0
four-quadrants,12,0.015284529071918233,0.001283839323847559,0.24649715017873133,1.6227368134275229,0,0.4,0.25,0.25,0.41754615514392285,2.316723128991445,0,100.79321069486598,0,0,0,0,43.182410414547526,0
four-quadrants,13,0.01656836839576579,0.0012773445473156736,0.24525015308460935,1.6309877688924548,0,0.39999999999999997,0.25,0.25,0.419417959814798,2.3091238149584763,0,100.79254979003798,0,0,0,0,43.180842197763965,0
four-quadrants,14,0.017845712943081467,0.0012738710864377567,0.2445832485960493,1.635434978871489,0,0.4,0.25,0.25,0.42108574999632786,2.300329846257069,0,100.79188833927257,0,0,0,0,43.17926949866742,0
four-quadrants,15,0.019119584029519222,0.0012722828682739035,0.2442783107085895,1.6374765276528291,0,0.4,0.25,0.25,0.424363282052967,2.292649643689426,0,100.7912251839543,0,0,0,0,43.1776908830314,0
