i,j,x,y,density,momentum_x,momentum_y,energy,velocity_x,velocity_y,pressure
0,0,0.0026041666666666665,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
1,0,0.0078125,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
2,0,0.013020833333333334,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
3,0,0.018229166666666668,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
4,0,0.0234375,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
5,0,0.028645833333333332,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
6,0,0.033854166666666664,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
7,0,0.0390625,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
8,0,0.044270833333333336,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
9,0,0.049479166666666664,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
10,0,0.0546875,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
11,0,0.059895833333333336,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
12,0,0.06510416666666667,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
13,0,0.0703125,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
14,0,0.07552083333333333,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
15,0,0.08072916666666667,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
16,0,0.0859375,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
17,0,0.09114583333333333,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
18,0,0.09635416666666667,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
19,0,0.1015625,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
20,0,0.10677083333333333,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
21,0,0.11197916666666667,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
22,0,0.1171875,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
23,0,0.12239583333333333,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
24,0,0.12760416666666666,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
25,0,0.1328125,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
26,0,0.13802083333333334,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
27,0,0.14322916666666666,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
28,0,0.1484375,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
29,0,0.15364583333333334,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
30,0,0.15885416666666666,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
31,0,0.1640625,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
32,0,0.16927083333333334,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
33,0,0.17447916666666666,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
34,0,0.1796875,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
35,0,0.18489583333333334,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
36,0,0.19010416666666666,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
37,0,0.1953125,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
38,0,0.20052083333333334,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
39,0,0.20572916666666666,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
40,0,0.2109375,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
41,0,0.21614583333333334,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
42,0,0.22135416666666666,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
43,0,0.2265625,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
44,0,0.23177083333333334,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
45,0,0.23697916666666666,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
46,0,0.2421875,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
47,0,0.24739583333333334,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
48,0,0.2526041666666667,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
49,0,0.2578125,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
50,0,0.2630208333333333,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
51,0,0.2682291666666667,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
52,0,0.2734375,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
53,0,0.2786458333333333,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
54,0,0.2838541666666667,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
55,0,0.2890625,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
56,0,0.2942708333333333,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
57,0,0.2994791666666667,0.0026041666666666665,0.138,0.16642800000000002,0.16642800000000002,0.273212168,1.206,1.206,0.028999999999999984
