step,time_before,dt,ratio,alpha,retries,max_cfl,min_density,min_pressure,max_component_velocity,min_energy_density_ratio,boundary_x_mass,boundary_x_momentum_x,boundary_x_momentum_y,boundary_x_energy,boundary_y_mass,boundary_y_momentum_x,boundary_y_momentum_y,boundary_y_energy
1,0,0.0009947764373384946,0.19099707596899096,2.0942728990518233,0,0.40036161804323545,0.138,0.028999999999999984,1.2060000000000002,1.9797983188405794,-50.21436672000006,27.190362207793928,-30.829389004799957,-122.55576935120558,-50.25270215719946,-30.81319873171179,27.297609333618265,-122.67619528805685
2,0.0009947764373384946,0.000993877926860679,0.19082456195725037,2.0961662162212136,0,0.40029712286204844,0.138,0.028999999999999984,1.2060000000000002,1.9584312714094305,-50.25270215719946,27.297609333618265,-30.81319873171179,-122.67619528805685,-50.291002968737544,-30.797023082140484,27.395135658572418,-122.79178798420779
3,0.0019886543641991737,0.0009931402152027879,0.19068292131893527,2.0977232634849456,0,0.40026859523885533,0.138,0.028999999999999984,1.2060000000000002,1.9416889867561284,-50.291002968737544,27.395135658572418,-30.797023082140484,-122.79178798420779,-50.32927535127604,-30.78085943903893,27.488991758426586,-122.90572732310756
4,0.0029817945794019616,0.0009924737808722102,0.19055496592746438,2.099131859687466,0,0.4002473589839837,0.138,0.028999999999999984,1.2060000000000002,1.933522194303966,-50.32927535127604,27.488991758426586,-30.78085943903893,-122.90572732310756,-50.367522051610514,-30.7647066423481,27.580715204657015,-123.0187481852068
5,0.003974268360274172,0.0009918604169097591,0.19043720004667375,2.1004299574976164,0,0.4002281528988405,0.138,0.028999999999999984,1.2060000000000002,1.9328164982915756,-50.367522051610514,27.580715204657015,-30.7647066423481,-123.0187481852068,-50.40574511489973,-30.748563828332436,27.67101597880612,-123.1311424430821
6,0.004966128777183931,0.00099129499984021,0.1903286399693203,2.1016280054566527,0,0.40021039914605117,0.138,0.028999999999999984,1.2060000000000002,1.9275919369453929,-50.40574511489973,27.67101597880612,-30.748563828332436,-123.1311424430821,-50.44394638886046,-30.732430216642467,27.76029845223143,-123.24307308571572
7,0.005957423777024141,0.0009907738549077038,0.19022858014227914,2.102733457300816,0,0.4001938577328654,0.138,0.028999999999999984,1.2060000000000002,1.9180643656267269,-50.44394638886046,27.76029845223143,-30.732430216642467,-123.24307308571572,-50.48212757959638,-30.7163050867364,27.84881417006474,-123.35464534017743
8,0.006948197631931845,0.000990293914574829,0.19013643159836718,2.103752535152948,0,0.40017834892544984,0.138,0.028999999999999984,1.2060000000000004,1.9033247444982324,-50.48212757959638,27.84881417006474,-30.7163050867364,-123.35464534017743,-50.520290274998274,-30.700187767997523,27.936729322815246,-123.465931914099
9,0.007938491546506674,0.000989852566720758,0.19005169281038556,2.10469054016309,0,0.40016372250962556,0.138,0.028999999999999984,1.2060000000000004,1.890698999386284,-50.520290274998274,27.936729322815246,-30.700187767997523,-123.465931914099,-50.558435962294325,-30.684077632322108,28.024159330951193,-123.57698529825058
10,0.008928344113227432,0.0009894475796185629,0.18997393528676407,2.1055520032061414,0,0.40014987466798824,0.138,0.028999999999999984,1.2060000000000004,1.8809387786846918,-50.558435962294325,28.024159330951193,-30.684077632322108,-123.57698529825058,-50.59656604270921,-30.667974087928428,28.1111877370884,-123.68784473182905
11,0.009917791692845995,0.0009890769856564627,0.18990278124604085,2.1063409254746728,0,0.40013674817922096,0.138,0.028999999999999984,1.2060000000000004,1.874613827302229,-50.59656604270921,28.1111877370884,-30.667974087928428,-123.68784473182905,-50.63468184164233,-30.651876575058264,28.197877111793524,-123.7985404226974
12,0.010906868678502457,0.0009887389650234833,0.1898378812845088,2.107061021190616,0,0.40012432036635254,0.138,0.028999999999999984,1.2060000000000002,1.8721385851639436,-50.63468184164233,28.197877111793524,-30.651876575058264,-123.7985404226974,-50.67278461436347,-30.635784563571278,28.284275685405316,-123.90909621275067
13,0.01189560764352594,0.0009884317595273361,0.18977889782924853,2.1077158976858197,0,0.40011258848995634,0.138,0.028999999999999984,1.2060000000000004,1.8725846038651233,-50.67278461436347,28.284275685405316,-30.635784563571278,-123.90909621275067,-50.710875548387435,-30.61969755194223,28.370421567561493,-124.01953131894197
14,0.012884039403053276,0.0009881536227167697,0.1897254955616198,2.108309159061263,0,0.40010155769330946,0.138,0.028999999999999984,1.2060000000000004,1.8711774444726796,-50.710875548387435,28.370421567561493,-30.61969755194223,-124.01953131894197,-50.748955763926475,-30.603615067069896,28.45634552563675,-124.12986150566722
