step,time,dt,max_speed,courant,min_density,min_pressure,boundary_mass_left,boundary_momentum_left,boundary_energy_left,boundary_mass_right,boundary_momentum_right,boundary_energy_right
1,0.003803194146278325,0.003803194146278325,1.1832159566199232,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
2,0.006540887403533226,0.0027376932572549012,1.643719575987915,0.45,0.125,0.1,0,1,0,0,0.1,0
3,0.009189701001059154,0.0026488135975259283,1.6988737917243917,0.45,0.125,0.1,0,1,0,0,0.1,0
4,0.011784465557402703,0.0025947645563435483,1.7342613953156674,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
5,0.014275975069264901,0.0024915095118621983,1.806133983665437,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
6,0.016701949146454793,0.002425974077189891,1.8549250143730065,0.45,0.125,0.1,0,1,0,0,0.1,0
7,0.019099051002638527,0.0023971018561837346,1.8772669122888876,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
8,0.02147344661818735,0.0023743956155488225,1.8952191330423518,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
9,0.02380249188252329,0.002329045264335939,1.9321221742262047,0.45,0.125,0.1,0,1,0,0,0.1,0
10,0.026109483619533434,0.0023069917370101465,1.9505921619953375,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
11,0.028407680935502957,0.0022981973159695236,1.958056416100903,0.45,0.125,0.1,0,1,0,0,0.1,0
12,0.030682315602136585,0.002274634666633627,1.9783396718646822,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
13,0.03293804180841645,0.0022557262062798673,1.9949229598309177,0.45,0.125,0.1,0,1,0,0,0.1,0
14,0.03518548885260866,0.002247447044192203,2.002271871823983,0.45,0.125,0.1,0,1,0,0,0.1,0
15,0.037424920540728934,0.0022394316881202774,2.0094383873692467,0.45,0.125,0.1,0,1,0,0,0.1,0
16,0.03964755526071489,0.0022226347199859535,2.0246241811737917,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
17,0.041862257423063945,0.0022147021623490546,2.0318759228676657,0.45,0.125,0.1,0,1,0,0,0.1,0
18,0.04407478127279563,0.0022125238497316788,2.033876380833469,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
19,0.04627398079055105,0.002199199517755424,2.0461990663734095,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
20,0.048465633869427066,0.0021916530788760177,2.0532446687720354,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
21,0.05065484474211431,0.0021892108726872467,2.0555351958746075,0.45,0.125,0.1,0,1,0,0,0.1,0
22,0.052836239505318155,0.0021813947632038405,2.0629003406017152,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
23,0.05501051047113027,0.0021742709658121202,2.0696592424574773,0.45,0.125,0.1,0,1,0,0,0.1,0
24,0.05718222506481027,0.0021717145936799988,2.0720954830324603,0.45,0.125,0.1,0,1,0,0,0.1,0
25,0.05934935489679314,0.0021671298319828653,2.076479190857994,0.45,0.125,0.1,0,1,0,0,0.1,0
26,0.06150979205081821,0.002160437154025073,2.0829117808940327,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
27,0.06366765370611548,0.0021578616552972714,2.0853978237914754,0.45,0.125,0.1,0,1,0,0,0.1,0
28,0.06582291375727506,0.0021552600511595835,2.087915097567409,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
29,0.06797189728161146,0.002148983524336406,2.094013262102405,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
30,0.07011833887083359,0.0021464415892221245,2.0964931086854364,0.45,0.125,0.1,0,1,0,0,0.1,0
31,0.07226346050283247,0.0021451216319988767,2.0977831433301013,0.45,0.125,0.1,0,1,0,0,0.1,0
32,0.07440269426252416,0.002139233759691684,2.103556929958211,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
33,0.07653944509845098,0.002136750835926818,2.1060012821046215,0.45,0.125,0.1,0,1,0,0,0.1,0
34,0.0786757521107273,0.0021363070122763163,2.1064388096564266,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
35,0.08080652771154985,0.0021307756008225437,2.1119070437369682,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
36,0.08293488920522496,0.0021283614936751104,2.114302487323103,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
37,0.08506309351237763,0.002128204307152676,2.1144586470744198,0.45,0.125,0.1,0,1,0,0,0.1,0
38,0.08718643770981148,0.0021233441974338467,2.119298418710657,0.45,0.125,0.1,0,1,0,0,0.1,0
39,0.08930743799970242,0.002121000289890937,2.121640445523651,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
40,0.0914281883539863,0.0021207503542838855,2.121890486030128,0.45,0.125,0.1,0,1,0,0,0.1,0
41,0.09354494680822645,0.0021167584542401362,2.1258920643429713,0.45,0.125,0.1,0,1,0,0,0.1,0
42,0.09565942922662364,0.0021144824183971897,2.1281803815664118,0.45,0.125,0.1,0,1,0,0,0.1,0
43,0.09777358110255828,0.002114151875934639,2.1285131173514245,0.45,0.125,0.1,0,1,0,0,0.1,0
44,0.09988446787836529,0.00211088677580701,2.131805481741015,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
45,0.1019931431762382,0.0021086752978729043,2.1340412175071766,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
46,0.10410141662145367,0.0021082734452154694,2.1344479816943727,0.45,0.125,0.1,0,1,0,0,0.1,0
47,0.10620704568120179,0.0021056290597481213,2.1371285598320426,0.45,0.125,0.1,0,1,0,0,0.1,0
48,0.10831052468523672,0.0021034790040349344,2.1393130101931197,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
49,0.11041353851883201,0.0021030138335952904,2.139786209730655,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
50,0.11251444444727453,0.0021009059284425235,2.1419331246954076,0.4500000000000001,0.125,0.1,0,1,0,0,0.1,0
51,0.11461325926310222,0.00209881481582769,2.144067197384147,0.45,0.125,0.1,0,1,0,0,0.1,0
52,0.1167115530064214,0.00209829374331918,2.144599636884819,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
53,0.11880820537663647,0.0020966523702150744,2.1462785457077898,0.45,0.125,0.1,0,1,0,0,0.1,0
54,0.12090282384860661,0.0020946184719701317,2.148362606469064,0.45,0.125,0.1,0,1,0,0,0.1,0
55,0.12299687248351641,0.0020940486349098095,2.1489472235652327,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
56,0.12508968632756742,0.002092813844051001,2.1502151339411424,0.45,0.125,0.1,0,1,0,0,0.1,0
57,0.12718052242931668,0.002090836101749272,2.1522490434497143,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
58,0.1292707468685465,0.002090224439229809,2.1528788562333183,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
59,0.13136009067072285,0.00208934380217634,2.15378627266256,0.45,0.125,0.1,0,1,0,0,0.1,0
60,0.13344751235218869,0.0020874216814658416,2.155769502614337,0.45,0.125,0.1,0,1,0,0,0.1,0
61,0.1355342872645811,0.0020867749123924116,2.156437655674571,0.45,0.125,0.1,0,1,0,0,0.1,0
62,0.1376204893028131,0.0020862020382319754,2.1570298166392754,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
63,0.13970482467414874,0.002084335371335657,2.158961586453512,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
64,0.14178848460918797,0.002083659935039224,2.1596614324281713,0.45,0.125,0.1,0,1,0,0,0.1,0
65,0.14387183813768908,0.0020833535285011166,2.15997906185301,0.45,0.125,0.1,0,1,0,0,0.1,0
66,0.14595338050902928,0.0020815423713402073,2.1618584670475203,0.45000000000000007,0.125,0.1,0,1,0,0,0.1,0
67,0.1480342248724609,0.0020808443634316052,2.162583650695945,0.45,0.125,0.1,0,1,0,0,0.1,0
68,0.15011499245097715,0.0020807675785162448,2.1626634548049157,0.45000000000000007,0.125,0.1,2.310201322943245e-17,1,8.085704630301358e-17,0,0.1,0
69,0.15219400454350676,0.00207901209252962,2.164489574721359,0.45,0.125,0.1,1.1550665621192318e-16,0.9999999999999999,4.0427329674173113e-16,5.77529018640567e-18,0.1,1.6170812521935875e-17
70,0.1542723017546318,0.002078297211125037,2.165234104107772,0.45000000000000007,0.12500000000000003,0.10000000000000003,3.463233655719742e-16,0.9999999999999996,1.2121317795019094e-15,1.7316125654408224e-17,0.1,4.848515183234303e-17
71,0.1563506852431986,0.0020783834885668004,2.1651442213405403,0.45000000000000007,0.12500000000000008,0.10000000000000009,9.462404536813434e-16,0.9999999999999988,3.3118415878847e-15,4.327407658221747e-17,0.10000000000000003,1.2116741443020893e-16
72,0.15842740279828627,0.002076717555087688,2.1668810902934705,0.45,0.12500000000000025,0.10000000000000027,2.3768713595460662e-15,0.999999999999997,8.319049758411225e-15,1.12498152672446e-16,0.10000000000000009,3.1499482748284887e-16
73,0.16050339384902496,0.0020759910507386807,2.167639402105711,0.45,0.12500000000000064,0.10000000000000071,5.720019845233405e-15,0.9999999999999931,2.0020069458316877e-14,2.85419626070067e-16,0.10000000000000027,7.991749529961881e-16
74,0.16257940956530414,0.002076015716279191,2.1676136479666335,0.45000000000000007,0.1250000000000016,0.10000000000000178,1.3233710432066891e-14,0.9999999999999842,4.631798651223391e-14,7.146910591368575e-16,0.10000000000000071,2.001134965583205e-15
75,0.16465404454809357,0.002074634982789427,2.169056261622262,0.45000000000000007,0.12500000000000383,0.1000000000000043,2.969027122862236e-14,0.9999999999999647,1.039159493001772e-13,1.7317019066830901e-15,0.10000000000000178,4.848765338712675e-15
76,0.16672794613751185,0.0020739015894182837,2.169823304519585,0.45,0.1250000000000089,0.10000000000000997,6.467751254226819e-14,0.9999999999999233,2.2637129389793365e-13,4.0954712548153506e-15,0.1000000000000043,1.1467319513483123e-14
77,0.16880181864319072,0.0020738725056788703,2.1698537338614994,0.45000000000000007,0.12500000000002023,0.10000000000002265,1.3720605134670312e-13,0.9999999999998375,4.802211797134385e-13,9.47179309952505e-15,0.10000000000000997,2.6521020678670895e-14
78,0.17087456174030635,0.0020727430971156364,2.171036056644964,0.45,0.12500000000004494,0.10000000000005033,2.8414911274590544e-13,0.9999999999996636,9.945218946105734e-13,2.1450346482936992e-14,0.10000000000002265,6.006097015222746e-14
79,0.1729465688438105,0.0020720071035041465,2.1718072261382066,0.45000000000000007,0.12500000000009784,0.10000000000010958,5.750907277328223e-13,0.9999999999993193,2.0128175470644864e-12,4.759493576768041e-14,0.10000000000005033,1.332658201495243e-13
80,0.17501850033640473,0.0020719314925942323,2.1718864818091173,0.45,0.12500000000020914,0.10000000000023423,1.1389623229388519e-12,0.9999999999986522,3.986368130284446e-12,1.0358355272190998e-13,0.10000000000010958,2.900339476214388e-13
81,0.1770895232904777,0.002071022954072953,2.1728392682225603,0.45000000000000007,0.12500000000043926,0.10000000000049197,2.2101458405550618e-12,0.9999999999973848,7.735510441936936e-12,2.213707239365857e-13,0.10000000000023423,6.198380270228548e-13
82,0.17915981149278196,0.002070288202304259,2.173610415685816,0.45000000000000007,0.1250000000009074,0.1000000000010163,4.205223173915591e-12,0.9999999999950241,1.471828110868364e-11,4.649008046830279e-13,0.10000000000049197,1.301722253114308e-12
83,0.1812299841593203,0.002070172666538334,2.1737317242840106,0.45000000000000007,0.12500000000184575,0.10000000000206724,7.852683672257925e-12,0.9999999999907083,2.7484392852829765e-11,9.60361504804443e-13,0.1000000000010163,2.689012213460248e-12
84,0.18329944182351016,0.00206945766418987,2.174482753558341,0.45000000000000007,0.1250000000036993,0.1000000000041432,1.4405312083271326e-11,0.999999999982955,5.041859229120408e-11,1.9533966760662033e-12,0.10000000000206724,5.469510693017674e-12
85,0.18536816938956052,0.0020687275660503704,2.1752501749621063,0.45000000000000007,0.12500000000731132,0.10000000000818868,2.5975844938921484e-11,0.9999999999692646,9.091545728542679e-11,3.914992706587716e-12,0.1000000000041432,1.0961979578575369e-11
86,0.18743674749871742,0.0020685781091568864,2.1754073390219313,0.45,0.1250000000142627,0.10000000001597426,4.6074787093532465e-11,0.9999999999454833,1.6126175482485177e-10,7.737615573333123e-12,0.10000000000818868,2.166532360583963e-11
87,0.1895047796564525,0.002068032157735062,2.1759816370208016,0.45000000000000007,0.1250000000274798,0.10000000003077739,8.045302766937349e-11,0.9999999999048065,2.8158559683514856e-10,1.5094285878009897e-11,0.10000000001597426,4.2264000460356675e-11
88,0.1915720893691381,0.0020673097126856182,2.1767420587184794,0.45000000000000007,0.12500000005232573,0.10000000005860483,1.3836844845130886e-10,0.99999999983628,4.842895695569273e-10,2.908193116191823e-11,0.10000000003077739,8.142940726053157e-11
89,0.19363922113458995,0.002067131765451834,2.1769294416586886,0.45,0.1250000000985488,0.10000000011037467,2.3452218195987436e-10,0.9999999997225093,8.208276367944825e-10,5.537639517418316e-11,0.10000000005860483,1.5505390651367545e-10
90,0.19570595410722522,0.0020667329726352553,2.1773494977738364,0.45000000000000007,0.12500000018368582,0.10000000020572813,3.919822485384919e-10,0.9999999995362,1.37193786970292e-9,1.0429429204412559e-10,0.10000000011037467,2.920240178156433e-10
91,0.1977719748963953,0.0020660207891700804,2.178100057651234,0.45000000000000007,0.12500000033901779,0.10000000037969992,6.463792424525414e-10,0.9999999992351936,2.26232734808954e-9,1.9439484073327756e-10,0.10000000020572813,5.443055543731171e-10
92,0.199837794135735,0.0020658192393396826,2.17831256206055,0.45000000000000007,0.12500000062000466,0.10000000069440525,1.0520374759591679e-9,0.9999999987552122,3.6821311645475232e-9,3.5878274018113733e-10,0.10000000037969992,1.0045916735970227e-9
93,0.2,0.00016220586426501926,2.178598539531629,0.035338145899123666,0.12500000065959574,0.10000000073874725,1.690978525485604e-9,0.9999999979992069,5.918424835816314e-9,6.561513228838712e-10,0.10000000069440525,1.837223707719919e-9
