Evaluated forward sequence 0, prefixes 128, milliseconds 59152
Evaluated forward sequence 1, prefixes 137, milliseconds 59272
Evaluated forward sequence 2, prefixes 142, milliseconds 59326
Evaluated forward sequence 3, prefixes 147, milliseconds 59381
Evaluated forward sequence 4, prefixes 158, milliseconds 59545
Evaluated forward sequence 5, prefixes 168, milliseconds 59686
Evaluated forward sequence 6, prefixes 186, milliseconds 60077
Evaluated forward sequence 7, prefixes 205, milliseconds 60510
Evaluated forward sequence 8, prefixes 217, milliseconds 60699
Evaluated forward sequence 9, prefixes 229, milliseconds 60885
Forward evaluation passed: 229 prefixes, milliseconds 60887
