Preserved output tail from the initial checker run (exit 1).
The diagnostic used a group index as rowScale's word offset.
checked projection weights 2, milliseconds 1036
checked projection weights 3, milliseconds 2072
checked projection weights 4, milliseconds 3102
checked projection weights 5, milliseconds 3904
checked projection weights 6, milliseconds 4158
checked projection weights 7, milliseconds 5236
checked projection weights 8, milliseconds 6308
checked projection weights 9, milliseconds 7084
checked projection weights 10, milliseconds 7354
checked projection weights 11, milliseconds 8607
checked projection weights 12, milliseconds 9933
checked projection weights 13, milliseconds 11092
checked projection weights 14, milliseconds 11351
checked projection weights 15, milliseconds 12464
checked projection weights 16, milliseconds 13773
checked projection weights 17, milliseconds 14548
checked projection weights 18, milliseconds 14827
checked projection weights 19, milliseconds 15950
checked projection weights 20, milliseconds 17340
checked projection weights 21, milliseconds 18114
checked projection weights 22, milliseconds 18395
checked projection weights 23, milliseconds 19438
checked projection weights 24, milliseconds 20505
checked projection weights 25, milliseconds 21370
checked projection weights 26, milliseconds 21694
checked projection weights 27, milliseconds 22817
checked projection weights 28, milliseconds 24135
checked projection weights 29, milliseconds 25101
checked projection weights 30, milliseconds 25362
checked projection weights 31, milliseconds 26399
checked projection weights 32, milliseconds 27713
checked projection weights 33, milliseconds 28635
checked projection weights 34, milliseconds 28924
checked projection weights 35, milliseconds 30073
checked projection weights 36, milliseconds 31250
checked projection weights 37, milliseconds 32243
checked projection weights 38, milliseconds 32543
checked projection weights 39, milliseconds 33745
checked projection weights 40, milliseconds 34820
checked projection weights 41, milliseconds 35596
checked projection weights 42, milliseconds 35860
checked projection weights 43, milliseconds 36927
checked projection weights 44, milliseconds 38228
checked projection weights 45, milliseconds 39009
checked projection weights 46, milliseconds 39288
checked projection weights 47, milliseconds 40698
checked projection weights 48, milliseconds 41744
checked projection weights 49, milliseconds 60050
uncaught exception: projection 0, prefix 0, failed activation reconstruction conditions
