checked projection weights 1, milliseconds 740
checked projection weights 2, milliseconds 986
checked projection weights 3, milliseconds 1978
checked projection weights 4, milliseconds 2973
checked projection weights 5, milliseconds 3748
checked projection weights 6, milliseconds 3992
checked projection weights 7, milliseconds 5017
checked projection weights 8, milliseconds 6036
checked projection weights 9, milliseconds 6782
checked projection weights 10, milliseconds 7044
checked projection weights 11, milliseconds 8284
checked projection weights 12, milliseconds 9580
checked projection weights 13, milliseconds 10713
checked projection weights 14, milliseconds 10957
checked projection weights 15, milliseconds 12025
checked projection weights 16, milliseconds 13310
checked projection weights 17, milliseconds 14055
checked projection weights 18, milliseconds 14324
checked projection weights 19, milliseconds 15409
checked projection weights 20, milliseconds 16768
checked projection weights 21, milliseconds 17518
checked projection weights 22, milliseconds 17792
checked projection weights 23, milliseconds 18800
checked projection weights 24, milliseconds 19829
checked projection weights 25, milliseconds 20660
checked projection weights 26, milliseconds 20975
checked projection weights 27, milliseconds 22107
checked projection weights 28, milliseconds 23389
checked projection weights 29, milliseconds 24330
checked projection weights 30, milliseconds 24579
checked projection weights 31, milliseconds 25563
checked projection weights 32, milliseconds 26835
checked projection weights 33, milliseconds 27730
checked projection weights 34, milliseconds 28011
checked projection weights 35, milliseconds 29112
checked projection weights 36, milliseconds 30246
checked projection weights 37, milliseconds 31207
checked projection weights 38, milliseconds 31497
checked projection weights 39, milliseconds 32669
checked projection weights 40, milliseconds 33712
checked projection weights 41, milliseconds 34445
checked projection weights 42, milliseconds 34698
checked projection weights 43, milliseconds 35715
checked projection weights 44, milliseconds 36976
checked projection weights 45, milliseconds 37719
checked projection weights 46, milliseconds 37987
checked projection weights 47, milliseconds 39354
checked projection weights 48, milliseconds 40345
checked projection weights 49, milliseconds 57885
checked projection prefixes 16, milliseconds 62719
checked projection prefixes 32, milliseconds 67535
checked projection prefixes 48, milliseconds 72366
checked projection prefixes 64, milliseconds 77193
checked projection prefixes 80, milliseconds 82010
checked projection prefixes 96, milliseconds 86834
checked projection prefixes 112, milliseconds 91641
checked projection prefixes 128, milliseconds 96462
checked projection prefixes 144, milliseconds 101281
checked projection prefixes 160, milliseconds 106088
checked projection prefixes 176, milliseconds 110919
checked projection prefixes 192, milliseconds 115718
checked projection prefixes 208, milliseconds 120531
checked projection prefixes 224, milliseconds 125350
checked projection prefixes 229, milliseconds 126862
Projection range check passed: 49 matrices, 229 prefixes, milliseconds 126862
