checked GELU inputs 1850000, milliseconds 30542
checked GELU inputs 1860000, milliseconds 30707
checked GELU inputs 1870000, milliseconds 30872
checked GELU inputs 1880000, milliseconds 31037
checked GELU inputs 1890000, milliseconds 31201
checked GELU inputs 1900000, milliseconds 31366
checked GELU inputs 1910000, milliseconds 31531
checked GELU inputs 1920000, milliseconds 31696
checked GELU inputs 1930000, milliseconds 31860
checked GELU inputs 1940000, milliseconds 32026
checked GELU inputs 1950000, milliseconds 32190
checked GELU inputs 1960000, milliseconds 32354
checked GELU inputs 1970000, milliseconds 32519
checked GELU inputs 1980000, milliseconds 32684
checked GELU inputs 1990000, milliseconds 32848
checked GELU inputs 2000000, milliseconds 33013
checked GELU inputs 2010000, milliseconds 33177
checked GELU inputs 2020000, milliseconds 33341
checked GELU inputs 2030000, milliseconds 33505
checked GELU inputs 2040000, milliseconds 33670
checked GELU inputs 2050000, milliseconds 33834
checked GELU inputs 2060000, milliseconds 33999
checked GELU inputs 2070000, milliseconds 34164
checked GELU inputs 2080000, milliseconds 34330
checked GELU inputs 2090000, milliseconds 34495
checked GELU inputs 2100000, milliseconds 34661
checked GELU inputs 2110000, milliseconds 34826
checked GELU inputs 2120000, milliseconds 34991
checked GELU inputs 2130000, milliseconds 35156
checked GELU inputs 2140000, milliseconds 35320
checked GELU inputs 2150000, milliseconds 35485
checked GELU inputs 2160000, milliseconds 35650
checked GELU inputs 2170000, milliseconds 35815
checked GELU inputs 2180000, milliseconds 35981
checked GELU inputs 2190000, milliseconds 36146
checked GELU inputs 2200000, milliseconds 36312
checked GELU inputs 2210000, milliseconds 36477
checked GELU inputs 2220000, milliseconds 36643
checked GELU inputs 2230000, milliseconds 36808
checked GELU inputs 2240000, milliseconds 36973
checked GELU inputs 2250000, milliseconds 37140
checked GELU inputs 2260000, milliseconds 37306
checked GELU inputs 2270000, milliseconds 37470
checked GELU inputs 2280000, milliseconds 37634
checked GELU inputs 2290000, milliseconds 37798
checked GELU inputs 2300000, milliseconds 37963
checked GELU inputs 2310000, milliseconds 38129
checked GELU inputs 2320000, milliseconds 38292
checked GELU inputs 2330000, milliseconds 38456
checked GELU inputs 2340000, milliseconds 38620
checked GELU inputs 2350000, milliseconds 38784
checked GELU inputs 2360000, milliseconds 38945
checked GELU inputs 2370000, milliseconds 39109
checked GELU inputs 2380000, milliseconds 39273
checked GELU inputs 2390000, milliseconds 39436
checked GELU inputs 2400000, milliseconds 39598
checked GELU inputs 2410000, milliseconds 39761
checked GELU inputs 2420000, milliseconds 39927
checked GELU inputs 2430000, milliseconds 40092
checked GELU inputs 2440000, milliseconds 40254
checked GELU inputs 2450000, milliseconds 40418
checked GELU inputs 2460000, milliseconds 40583
checked GELU inputs 2470000, milliseconds 40747
checked GELU inputs 2480000, milliseconds 40910
checked GELU inputs 2490000, milliseconds 41074
checked GELU inputs 2500000, milliseconds 41238
checked GELU inputs 2510000, milliseconds 41400
checked GELU inputs 2520000, milliseconds 41564
checked GELU inputs 2530000, milliseconds 41728
checked GELU inputs 2540000, milliseconds 41891
checked GELU inputs 2550000, milliseconds 42057
checked GELU inputs 2560000, milliseconds 42221
checked GELU inputs 2570000, milliseconds 42388
checked GELU inputs 2580000, milliseconds 42553
checked GELU inputs 2590000, milliseconds 42716
checked GELU inputs 2600000, milliseconds 42882
checked GELU inputs 2610000, milliseconds 43049
checked GELU inputs 2620000, milliseconds 43215
checked GELU inputs 2630000, milliseconds 43380
checked GELU inputs 2640000, milliseconds 43545
checked GELU inputs 2650000, milliseconds 43709
checked GELU inputs 2660000, milliseconds 43873
checked GELU inputs 2670000, milliseconds 44039
checked GELU inputs 2680000, milliseconds 44205
checked GELU inputs 2690000, milliseconds 44369
checked GELU inputs 2700000, milliseconds 44533
checked GELU inputs 2710000, milliseconds 44698
checked GELU inputs 2720000, milliseconds 44864
checked GELU inputs 2730000, milliseconds 45031
checked GELU inputs 2740000, milliseconds 45196
checked GELU inputs 2750000, milliseconds 45361
checked GELU inputs 2760000, milliseconds 45526
checked GELU inputs 2770000, milliseconds 45691
checked GELU inputs 2780000, milliseconds 45856
checked GELU inputs 2790000, milliseconds 46023
checked GELU inputs 2800000, milliseconds 46188
checked GELU inputs 2810000, milliseconds 46352
checked GELU inputs 2820000, milliseconds 46517
checked GELU inputs 2830000, milliseconds 46683
checked GELU inputs 2840000, milliseconds 46851
checked GELU inputs 2850000, milliseconds 47015
checked GELU inputs 2860000, milliseconds 47179
checked GELU inputs 2870000, milliseconds 47344
checked GELU inputs 2880000, milliseconds 47509
checked GELU inputs 2890000, milliseconds 47675
checked GELU inputs 2900000, milliseconds 47839
checked GELU inputs 2910000, milliseconds 48005
checked GELU inputs 2920000, milliseconds 48170
checked GELU inputs 2930000, milliseconds 48335
checked GELU inputs 2940000, milliseconds 48501
checked GELU inputs 2950000, milliseconds 48668
checked GELU inputs 2960000, milliseconds 48832
checked GELU inputs 2970000, milliseconds 48998
checked GELU inputs 2980000, milliseconds 49164
checked GELU inputs 2990000, milliseconds 49330
checked GELU inputs 3000000, milliseconds 49494
checked GELU inputs 3010000, milliseconds 49660
checked GELU inputs 3020000, milliseconds 49824
checked GELU inputs 3030000, milliseconds 49988
checked GELU inputs 3040000, milliseconds 50156
checked GELU inputs 3050000, milliseconds 50321
checked GELU inputs 3060000, milliseconds 50486
checked GELU inputs 3070000, milliseconds 50650
checked GELU inputs 3080000, milliseconds 50815
checked GELU inputs 3090000, milliseconds 50980
checked GELU inputs 3100000, milliseconds 51145
checked GELU inputs 3110000, milliseconds 51309
checked GELU inputs 3120000, milliseconds 51473
checked GELU inputs 3130000, milliseconds 51639
checked GELU inputs 3140000, milliseconds 51802
checked GELU inputs 3150000, milliseconds 51967
checked GELU inputs 3160000, milliseconds 52133
checked GELU inputs 3170000, milliseconds 52298
checked GELU inputs 3180000, milliseconds 52463
checked GELU inputs 3190000, milliseconds 52629
checked GELU inputs 3200000, milliseconds 52793
checked GELU inputs 3210000, milliseconds 52958
checked GELU inputs 3220000, milliseconds 53123
checked GELU inputs 3230000, milliseconds 53287
checked GELU inputs 3240000, milliseconds 53453
checked GELU inputs 3250000, milliseconds 53618
checked GELU inputs 3260000, milliseconds 53785
checked GELU inputs 3270000, milliseconds 53951
checked GELU inputs 3280000, milliseconds 54117
checked GELU inputs 3290000, milliseconds 54283
checked GELU inputs 3300000, milliseconds 54450
checked GELU inputs 3310000, milliseconds 54615
checked GELU inputs 3320000, milliseconds 54782
checked GELU inputs 3330000, milliseconds 54946
checked GELU inputs 3340000, milliseconds 55113
checked GELU inputs 3350000, milliseconds 55279
checked GELU inputs 3360000, milliseconds 55442
checked GELU inputs 3370000, milliseconds 55608
checked GELU inputs 3380000, milliseconds 55775
checked GELU inputs 3390000, milliseconds 55940
checked GELU inputs 3400000, milliseconds 56107
checked GELU inputs 3410000, milliseconds 56274
checked GELU inputs 3420000, milliseconds 56440
checked GELU inputs 3430000, milliseconds 56605
checked GELU inputs 3440000, milliseconds 56771
checked GELU inputs 3450000, milliseconds 56937
checked GELU inputs 3460000, milliseconds 57103
checked GELU inputs 3470000, milliseconds 57269
checked GELU inputs 3480000, milliseconds 57433
checked GELU inputs 3490000, milliseconds 57599
checked GELU inputs 3500000, milliseconds 57763
checked GELU inputs 3510000, milliseconds 57927
checked GELU inputs 3520000, milliseconds 58093
checked GELU inputs 3530000, milliseconds 58259
checked GELU inputs 3540000, milliseconds 58422
checked GELU inputs 3550000, milliseconds 58586
checked GELU inputs 3560000, milliseconds 58751
checked GELU inputs 3570000, milliseconds 58915
checked GELU inputs 3580000, milliseconds 59077
checked GELU inputs 3590000, milliseconds 59241
checked GELU inputs 3600000, milliseconds 59404
checked GELU inputs 3610000, milliseconds 59567
checked GELU inputs 3620000, milliseconds 59730
checked GELU inputs 3630000, milliseconds 59896
checked GELU inputs 3640000, milliseconds 60061
checked GELU inputs 3650000, milliseconds 60225
checked GELU inputs 3660000, milliseconds 60388
checked GELU inputs 3670000, milliseconds 60553
checked GELU inputs 3680000, milliseconds 60717
checked GELU inputs 3690000, milliseconds 60881
checked GELU inputs 3700000, milliseconds 61046
checked GELU inputs 3710000, milliseconds 61211
checked GELU inputs 3720000, milliseconds 61376
checked GELU inputs 3730000, milliseconds 61540
checked GELU inputs 3740000, milliseconds 61705
checked GELU inputs 3750000, milliseconds 61869
checked GELU inputs 3760000, milliseconds 62033
checked GELU inputs 3770000, milliseconds 62196
checked GELU inputs 3780000, milliseconds 62360
checked GELU inputs 3790000, milliseconds 62523
checked GELU inputs 3800000, milliseconds 62687
checked GELU inputs 3810000, milliseconds 62851
checked GELU inputs 3820000, milliseconds 63016
checked GELU inputs 3830000, milliseconds 63180
checked GELU inputs 3840000, milliseconds 63345
checked GELU inputs 3850000, milliseconds 63509
checked GELU inputs 3860000, milliseconds 63673
checked GELU inputs 3870000, milliseconds 63839
checked GELU inputs 3880000, milliseconds 64003
checked GELU inputs 3890000, milliseconds 64169
checked GELU inputs 3900000, milliseconds 64335
checked GELU inputs 3910000, milliseconds 64501
checked GELU inputs 3920000, milliseconds 64665
checked GELU inputs 3930000, milliseconds 64829
checked GELU inputs 3940000, milliseconds 64994
checked GELU inputs 3950000, milliseconds 65158
checked GELU inputs 3960000, milliseconds 65323
checked GELU inputs 3970000, milliseconds 65487
checked GELU inputs 3980000, milliseconds 65651
checked GELU inputs 3990000, milliseconds 65816
checked GELU inputs 4000000, milliseconds 65982
checked GELU inputs 4010000, milliseconds 66147
checked GELU inputs 4020000, milliseconds 66311
checked GELU inputs 4030000, milliseconds 66476
checked GELU inputs 4040000, milliseconds 66642
checked GELU inputs 4050000, milliseconds 66807
checked GELU inputs 4060000, milliseconds 66971
checked GELU inputs 4070000, milliseconds 67137
checked GELU inputs 4080000, milliseconds 67302
checked GELU inputs 4090000, milliseconds 67467
checked GELU inputs 4100000, milliseconds 67630
checked GELU inputs 4110000, milliseconds 67794
checked GELU inputs 4120000, milliseconds 67960
checked GELU inputs 4130000, milliseconds 68126
checked GELU inputs 4140000, milliseconds 68291
checked GELU inputs 4150000, milliseconds 68458
checked GELU inputs 4160000, milliseconds 68623
checked GELU inputs 4170000, milliseconds 68788
checked GELU inputs 4180000, milliseconds 68953
checked GELU inputs 4190000, milliseconds 69117
checked GELU inputs 4200000, milliseconds 69282
checked GELU inputs 4210000, milliseconds 69446
checked GELU inputs 4220000, milliseconds 69611
checked GELU inputs 4230000, milliseconds 69776
checked GELU inputs 4240000, milliseconds 69940
checked GELU inputs 4250000, milliseconds 70104
checked GELU inputs 4260000, milliseconds 70271
checked GELU inputs 4270000, milliseconds 70437
checked GELU inputs 4280000, milliseconds 70602
checked GELU inputs 4290000, milliseconds 70765
checked GELU inputs 4300000, milliseconds 70930
checked GELU inputs 4310000, milliseconds 71095
checked GELU inputs 4320000, milliseconds 71259
checked GELU inputs 4330000, milliseconds 71423
checked GELU inputs 4340000, milliseconds 71588
checked GELU inputs 4350000, milliseconds 71753
checked GELU inputs 4360000, milliseconds 71919
checked GELU inputs 4370000, milliseconds 72086
checked GELU inputs 4380000, milliseconds 72252
checked GELU inputs 4390000, milliseconds 72417
checked GELU inputs 4400000, milliseconds 72582
checked GELU inputs 4410000, milliseconds 72749
checked GELU inputs 4420000, milliseconds 72914
checked GELU inputs 4430000, milliseconds 73079
checked GELU inputs 4440000, milliseconds 73244
checked GELU inputs 4450000, milliseconds 73409
checked GELU inputs 4460000, milliseconds 73571
checked GELU inputs 4470000, milliseconds 73737
checked GELU inputs 4480000, milliseconds 73903
checked GELU inputs 4490000, milliseconds 74068
checked GELU inputs 4500000, milliseconds 74231
checked GELU inputs 4510000, milliseconds 74397
checked GELU inputs 4520000, milliseconds 74562
checked GELU inputs 4530000, milliseconds 74726
checked GELU inputs 4540000, milliseconds 74890
checked GELU inputs 4550000, milliseconds 75055
checked GELU inputs 4560000, milliseconds 75221
checked GELU inputs 4570000, milliseconds 75385
checked GELU inputs 4580000, milliseconds 75550
checked GELU inputs 4590000, milliseconds 75714
checked GELU inputs 4600000, milliseconds 75879
checked GELU inputs 4610000, milliseconds 76042
checked GELU inputs 4620000, milliseconds 76207
checked GELU inputs 4630000, milliseconds 76373
checked GELU inputs 4640000, milliseconds 76538
checked GELU inputs 4650000, milliseconds 76703
checked GELU inputs 4660000, milliseconds 76869
checked GELU inputs 4670000, milliseconds 77035
checked GELU inputs 4680000, milliseconds 77200
checked GELU inputs 4690000, milliseconds 77364
checked GELU inputs 4700000, milliseconds 77530
checked GELU inputs 4710000, milliseconds 77696
checked GELU inputs 4720000, milliseconds 77860
checked GELU inputs 4730000, milliseconds 78025
checked GELU inputs 4740000, milliseconds 78190
checked GELU inputs 4750000, milliseconds 78356
checked GELU inputs 4760000, milliseconds 78519
checked GELU inputs 4770000, milliseconds 78683
checked GELU inputs 4780000, milliseconds 78849
checked GELU inputs 4790000, milliseconds 79014
checked GELU inputs 4800000, milliseconds 79178
checked GELU inputs 4810000, milliseconds 79344
checked GELU inputs 4820000, milliseconds 79509
checked GELU inputs 4830000, milliseconds 79675
checked GELU inputs 4840000, milliseconds 79839
checked GELU inputs 4850000, milliseconds 80003
checked GELU inputs 4860000, milliseconds 80168
checked GELU inputs 4870000, milliseconds 80334
checked GELU inputs 4880000, milliseconds 80499
checked GELU inputs 4890000, milliseconds 80666
checked GELU inputs 4900000, milliseconds 80834
checked GELU inputs 4910000, milliseconds 81000
checked GELU inputs 4920000, milliseconds 81166
checked GELU inputs 4930000, milliseconds 81330
checked GELU inputs 4940000, milliseconds 81495
checked GELU inputs 4950000, milliseconds 81660
checked GELU inputs 4960000, milliseconds 81826
checked GELU inputs 4970000, milliseconds 81991
checked GELU inputs 4980000, milliseconds 82155
checked GELU inputs 4990000, milliseconds 82319
checked GELU inputs 5000000, milliseconds 82484
checked GELU inputs 5010000, milliseconds 82648
checked GELU inputs 5020000, milliseconds 82812
checked GELU inputs 5030000, milliseconds 82976
checked GELU inputs 5040000, milliseconds 83140
checked GELU inputs 5050000, milliseconds 83303
checked GELU inputs 5060000, milliseconds 83468
checked GELU inputs 5070000, milliseconds 83633
checked GELU inputs 5080000, milliseconds 83798
checked GELU inputs 5090000, milliseconds 83964
checked GELU inputs 5100000, milliseconds 84128
checked GELU inputs 5110000, milliseconds 84293
checked GELU inputs 5120000, milliseconds 84458
checked GELU inputs 5130000, milliseconds 84625
checked GELU inputs 5140000, milliseconds 84789
checked GELU inputs 5150000, milliseconds 84953
checked GELU inputs 5160000, milliseconds 85119
checked GELU inputs 5170000, milliseconds 85285
checked GELU inputs 5180000, milliseconds 85451
checked GELU inputs 5190000, milliseconds 85615
checked GELU inputs 5200000, milliseconds 85780
checked GELU inputs 5210000, milliseconds 85946
checked GELU inputs 5220000, milliseconds 86111
checked GELU inputs 5230000, milliseconds 86277
checked GELU inputs 5240000, milliseconds 86444
checked GELU inputs 5250000, milliseconds 86609
checked GELU inputs 5260000, milliseconds 86773
checked GELU inputs 5270000, milliseconds 86938
checked GELU inputs 5280000, milliseconds 87102
checked GELU inputs 5290000, milliseconds 87267
checked GELU inputs 5300000, milliseconds 87432
checked GELU inputs 5310000, milliseconds 87597
checked GELU inputs 5320000, milliseconds 87763
checked GELU inputs 5330000, milliseconds 87928
checked GELU inputs 5340000, milliseconds 88092
checked GELU inputs 5350000, milliseconds 88258
checked GELU inputs 5360000, milliseconds 88424
checked GELU inputs 5370000, milliseconds 88588
checked GELU inputs 5380000, milliseconds 88753
GELU range check passed: 5382144 inputs, milliseconds 88788
