checked projection weights 1, milliseconds 750
checked projection weights 2, milliseconds 997
checked projection weights 3, milliseconds 1994
checked projection weights 4, milliseconds 2987
checked projection weights 5, milliseconds 3758
checked projection weights 6, milliseconds 4003
checked projection weights 7, milliseconds 5039
checked projection weights 8, milliseconds 6064
checked projection weights 9, milliseconds 6813
checked projection weights 10, milliseconds 7077
checked projection weights 11, milliseconds 8316
checked projection weights 12, milliseconds 9604
checked projection weights 13, milliseconds 10728
checked projection weights 14, milliseconds 10975
checked projection weights 15, milliseconds 12041
checked projection weights 16, milliseconds 13322
checked projection weights 17, milliseconds 14064
checked projection weights 18, milliseconds 14330
checked projection weights 19, milliseconds 15409
checked projection weights 20, milliseconds 16770
checked projection weights 21, milliseconds 17517
checked projection weights 22, milliseconds 17787
checked projection weights 23, milliseconds 18793
checked projection weights 24, milliseconds 19820
checked projection weights 25, milliseconds 20651
checked projection weights 26, milliseconds 20972
checked projection weights 27, milliseconds 22063
checked projection weights 28, milliseconds 23348
checked projection weights 29, milliseconds 24286
checked projection weights 30, milliseconds 24534
checked projection weights 31, milliseconds 25524
checked projection weights 32, milliseconds 26807
checked projection weights 33, milliseconds 27706
checked projection weights 34, milliseconds 27987
checked projection weights 35, milliseconds 29092
checked projection weights 36, milliseconds 30216
checked projection weights 37, milliseconds 31182
checked projection weights 38, milliseconds 31472
checked projection weights 39, milliseconds 32651
checked projection weights 40, milliseconds 33680
checked projection weights 41, milliseconds 34421
checked projection weights 42, milliseconds 34674
checked projection weights 43, milliseconds 35702
checked projection weights 44, milliseconds 36971
checked projection weights 45, milliseconds 37712
checked projection weights 46, milliseconds 37981
checked projection weights 47, milliseconds 39364
checked projection weights 48, milliseconds 40350
checked projection weights 49, milliseconds 57996
checked projection prefixes 16, milliseconds 62807
checked projection prefixes 32, milliseconds 67605
checked projection prefixes 48, milliseconds 72420
checked projection prefixes 64, milliseconds 77237
checked projection prefixes 73, milliseconds 79952
Projection range check passed: 49 matrices, 73 prefixes, milliseconds 79952
