x,z,t
0.000000000,0.000000000,0.000000000
0.010000000,0.043210000,0.200000000
0.040000000,0.171680000,0.400000000
0.090000000,0.383670000,0.600000000
0.160000000,0.677440000,0.800000000
0.250000000,1.051250000,1.000000000
0.360000000,1.503360000,1.200000000
0.490000000,2.032030000,1.400000000
0.640000000,2.635520000,1.600000000
0.810000000,3.312090000,1.800000000
1.000000000,4.060000000,2.000000000
1.210000000,4.877510000,2.200000000
1.440000000,5.762880000,2.400000000
1.690000000,6.714370000,2.600000000
1.960000000,7.730240000,2.800000000
2.250000000,8.808750000,3.000000000
2.560000000,9.948160000,3.200000000
2.890000000,11.146730000,3.400000000
3.240000000,12.402720000,3.600000000
3.610000000,13.714390000,3.800000000
4.000000000,15.080000000,4.000000000
4.410000000,16.497810000,4.200000000
4.840000000,17.966080000,4.400000000
5.290000000,19.483070000,4.600000000
5.760000000,21.047040000,4.800000000
6.250000000,22.656250000,5.000000000
6.760000000,24.308960000,5.200000000
7.290000000,26.003430000,5.400000000
7.840000000,27.737920000,5.600000000
8.410000000,29.510690000,5.800000000
9.000000000,31.320000000,6.000000000
9.610000000,33.164110000,6.200000000
10.240000000,35.041280000,6.400000000
10.890000000,36.949770000,6.600000000
11.560000000,38.887840000,6.800000000
12.250000000,40.853750000,7.000000000
12.960000000,42.845760000,7.200000000
13.690000000,44.862130000,7.400000000
14.440000000,46.901120000,7.600000000
15.210000000,48.960990000,7.800000000
16.000000000,51.040000000,8.000000000
16.810000000,53.136410000,8.200000000
17.640000000,55.248480000,8.400000000
18.490000000,57.374470000,8.600000000
19.360000000,59.512640000,8.800000000
20.250000000,61.661250000,9.000000000
21.160000000,63.818560000,9.200000000
22.090000000,65.982830000,9.400000000
23.040000000,68.152320000,9.600000000
24.010000000,70.325290000,9.800000000
25.000000000,72.500000000,10.000000000
26.010000000,74.674710000,10.200000000
27.040000000,76.847680000,10.400000000
28.090000000,79.017170000,10.600000000
29.160000000,81.181440000,10.800000000
30.250000000,83.338750000,11.000000000
31.360000000,85.487360000,11.200000000
32.490000000,87.625530000,11.400000000
33.640000000,89.751520000,11.600000000
34.810000000,91.863590000,11.800000000
36.000000000,93.960000000,12.000000000
37.210000000,96.039010000,12.200000000
38.440000000,98.098880000,12.400000000
