x,z,t
0.000000000,0.000000000,0.000000000
0.010000000,0.052150000,0.200000000
0.040000000,0.207200000,0.400000000
0.090000000,0.463050000,0.600000000
0.160000000,0.817600000,0.800000000
0.250000000,1.268750000,1.000000000
0.360000000,1.814400000,1.200000000
0.490000000,2.452450000,1.400000000
0.640000000,3.180800000,1.600000000
0.810000000,3.997350000,1.800000000
1.000000000,4.900000000,2.000000000
1.210000000,5.886650000,2.200000000
1.440000000,6.955200000,2.400000000
1.690000000,8.103550000,2.600000000
1.960000000,9.329600000,2.800000000
2.250000000,10.631250000,3.000000000
2.560000000,12.006400000,3.200000000
2.890000000,13.452950000,3.400000000
3.240000000,14.968800000,3.600000000
3.610000000,16.551850000,3.800000000
4.000000000,18.200000000,4.000000000
4.410000000,19.911150000,4.200000000
4.840000000,21.683200000,4.400000000
5.290000000,23.514050000,4.600000000
5.760000000,25.401600000,4.800000000
6.250000000,27.343750000,5.000000000
6.760000000,29.338400000,5.200000000
7.290000000,31.383450000,5.400000000
7.840000000,33.476800000,5.600000000
8.410000000,35.616350000,5.800000000
9.000000000,37.800000000,6.000000000
9.610000000,40.025650000,6.200000000
10.240000000,42.291200000,6.400000000
10.890000000,44.594550000,6.600000000
11.560000000,46.933600000,6.800000000
12.250000000,49.306250000,7.000000000
12.960000000,51.710400000,7.200000000
13.690000000,54.143950000,7.400000000
14.440000000,56.604800000,7.600000000
15.210000000,59.090850000,7.800000000
16.000000000,61.600000000,8.000000000
16.810000000,64.130150000,8.200000000
17.640000000,66.679200000,8.400000000
18.490000000,69.245050000,8.600000000
19.360000000,71.825600000,8.800000000
20.250000000,74.418750000,9.000000000
21.160000000,77.022400000,9.200000000
22.090000000,79.634450000,9.400000000
23.040000000,82.252800000,9.600000000
24.010000000,84.875350000,9.800000000
25.000000000,87.500000000,10.000000000
26.010000000,90.124650000,10.200000000
27.040000000,92.747200000,10.400000000
28.090000000,95.365550000,10.600000000
29.160000000,97.977600000,10.800000000
30.250000000,100.581250000,11.000000000
